x,y,z,type
517.3140383396612,534.1582181534263,0.0,CAF
-6.177894596726219,623.9101368251868,0.0,CAF
-621.726337706097,-616.7229900882699,0.0,CAF
564.4548548405362,335.69315556191304,0.0,CAF
746.5493709061218,-187.78288363998297,0.0,CAF
697.8986496285834,-134.30046707712233,0.0,CAF
130.46054082405033,504.9296404241243,0.0,CAF
-649.2701795793325,-209.89106831723097,0.0,CAF
-651.384046266661,178.9491460097786,0.0,CAF
344.7557629687908,-676.785412730484,0.0,CAF
115.90188003011872,-572.4748332647916,0.0,CAF
699.2496170603345,228.69653496720935,0.0,CAF
319.24631911042775,-690.8354740206977,0.0,CAF
-411.0548870253485,49.70129712740618,0.0,CAF
190.01436396254633,576.9918326071884,0.0,CAF
-189.38497207669514,-681.5694268123327,0.0,CAF
54.472596221662116,646.9878393063975,0.0,CAF
645.7036255595092,-721.9077249509778,0.0,CAF
-43.48048944755351,329.5422803138217,0.0,CAF
744.7533789086172,440.703059345218,0.0,CAF
715.9539320105773,-64.30446037791319,0.0,CAF
580.7777201629904,-418.36918363819507,0.0,CAF
-730.2010756084817,-699.6247091943268,0.0,CAF
670.958769666013,235.76924681578953,0.0,CAF
140.99808679171065,745.3064808689105,0.0,CAF
629.8734660062819,-675.7046387850829,0.0,CAF
698.7251238221254,779.3508601490435,0.0,CAF
-626.0971146911747,753.3487105214538,0.0,CAF
752.112177978039,280.55779061196836,0.0,CAF
599.5641143315793,398.69591908499774,0.0,CAF
764.4933971466774,-782.036901278055,0.0,CAF
-655.8183981897037,-299.45226217509725,0.0,CAF
643.6215463411629,-367.01652749715396,0.0,CAF
119.43028908716326,403.79780785667026,0.0,CAF
-688.5435975070677,-690.3904494549442,0.0,CAF
656.8133459688522,562.9417713169748,0.0,CAF
-425.80427263317455,-544.3111357463996,0.0,CAF
558.4947044063392,-705.7279032389445,0.0,CAF
618.1597836862736,769.7192570473812,0.0,CAF
-568.2757086122188,-103.95932793343695,0.0,CAF
679.461917618801,295.1641326093736,0.0,CAF
125.35865205237792,739.1873930898016,0.0,CAF
22.748702177242876,630.3947804975933,0.0,CAF
-586.8395904979309,-702.215387916391,0.0,CAF
693.1623167502082,-398.8834651519938,0.0,CAF
712.012285856762,425.73116145451513,0.0,CAF
696.4046385864115,298.00911108329706,0.0,CAF
712.6003540329357,-308.84545925939165,0.0,CAF
-329.678966430446,632.1271975571331,0.0,CAF
-460.3413576825345,48.36622343014608,0.0,CAF
-150.38174763531026,43.91597777261234,0.0,CAF
-673.3332935989971,-650.0362575818081,0.0,CAF
757.1822792807291,519.6313448284768,0.0,CAF
716.1764442934539,276.0757574854522,0.0,CAF
614.1068813910197,751.0282252857396,0.0,CAF
793.1339066998053,-321.38561577294206,0.0,CAF
171.91140037707896,659.2101211301242,0.0,CAF
772.4084769232909,323.502661207169,0.0,CAF
186.21576141915148,732.3848747275715,0.0,CAF
